Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","22u","C_0805_2012Metric",158.343600,-72.110600,-90.000000,top
"C4","1u","C_0402_1005Metric",155.321000,-72.009000,180.000000,top
"C5","1u","C_0402_1005Metric",153.820000,-65.890000,0.000000,top
"C6","4u7","C_0603_1608Metric",153.543000,-70.309600,-90.000000,top
"C7","0.1u","C_0402_1005Metric",151.031000,-62.230000,0.000000,top
"C8","47u","C_0805_2012Metric",156.591000,-59.690000,0.000000,top
"C9","47u","C_0805_2012Metric",156.591000,-56.515000,0.000000,top
"C10","47u","C_0805_2012Metric",151.130000,-56.322000,90.000000,top
"C11","47u","C_0805_2012Metric",153.289000,-56.322000,90.000000,top
"C12","1u","C_0402_1005Metric",147.320000,-55.626000,90.000000,top
"C13","1u","C_0402_1005Metric",141.986000,-57.404000,90.000000,top
"C14","4.7u","C_0402_1005Metric",124.968000,-70.358000,0.000000,top
"C15","4.7u","C_0402_1005Metric",128.752600,-57.632600,180.000000,top
"C16","0.1u","C_0402_1005Metric",127.000000,-58.724800,-90.000000,top
"C17","0.1u","C_0402_1005Metric",124.460000,-68.834000,90.000000,top
"C18","0.1u","C_0402_1005Metric",135.636000,-72.923400,180.000000,top
"C19","0.1u","C_0402_1005Metric",138.353800,-69.951600,0.000000,top
"C20","0.1u","C_0402_1005Metric",139.852400,-63.169800,-90.000000,top
"C21","0.1u","C_0402_1005Metric",135.128000,-57.353200,0.000000,top
"C22","22u","C_0805_2012Metric",141.592200,-82.001400,90.000000,top
"C23","22u","C_0805_2012Metric",143.789400,-82.001400,90.000000,top
"C24","22u","C_0805_2012Metric",145.999200,-82.001400,90.000000,top
"C25","22u","C_0805_2012Metric",148.183600,-81.991200,90.000000,top
"C26","4.7u","C_0402_1005Metric",128.524000,-45.085000,180.000000,top
"C27","0.1u","C_0402_1005Metric",139.700000,-66.040000,0.000000,top
"C28","47u","C_0805_2012Metric",154.686000,-40.386000,90.000000,top
"C29","47u","C_0805_2012Metric",119.888000,-41.656000,0.000000,top
"C30","0.1u","C_0402_1005Metric",141.102200,-53.721000,-90.000000,top
"C31","22u","C_0805_2012Metric",155.194000,-85.471000,0.000000,top
"C32","22u","C_0805_2012Metric",155.194000,-87.503000,0.000000,top
"C33","1u","C_0402_1005Metric",117.221000,-61.468000,180.000000,top
"C34","0.1u","C_0402_1005Metric",120.142000,-64.008000,180.000000,top
"C35","0.1u","C_0402_1005Metric",128.526000,-93.726000,180.000000,top
"D1","ZMM5V6-M","D_MiniMELF",139.954000,-86.868000,-90.000000,top
"D9","SMF30CA","D_SOD-123F",140.081000,-93.980000,90.000000,top
"D10","GREEN LED","LED_0805_2012Metric",146.779500,-59.852000,0.000000,top
"D11","RED LED","LED_0603_1608Metric",116.560500,-62.992000,180.000000,top
"D12","YELLOW LED","LED_0603_1608Metric",116.586000,-66.040000,180.000000,top
"D13","BLUE LED","LED_0603_1608Metric",152.146000,-37.084000,0.000000,top
"D20","SMAJ5.0A","D_SMA",157.734000,-38.862000,-90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",116.332000,-35.433000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",151.765000,-27.940000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",127.000000,-88.011000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",151.765000,-94.488000,0.000000,top
"J6","Conn_ST_STDC14","PinHeader_2x07_P1.27mm_Vertical_SMD",119.380000,-73.406000,0.000000,top
